"ULTIMA ATUALIZACAO";"08/04/2021 02:08"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2021";"2";"ESPERIDIÃO AMIN";"Passagens aéreas, aquáticas e terrestres nacionais";"00.556.066/0001-62";"FIBRATUR TURISMO E VIAGENS LTDA";"UUPLOS";"11/02/2021";"Companhia Aérea: LATAM, Localizador: UUPLOS. Passageiros: ESPERIDIÃO AMIN HELOU FILHO (Matrícula 137367, PARLAMENTAR), Voo: 3035 - FLORIANÓPOLIS/BRASÍLIA - 23/02/2021;";"1123,4";"2155971"
"2021";"2";"ESPERIDIÃO AMIN";"Passagens aéreas, aquáticas e terrestres nacionais";"00.556.066/0001-62";"FIBRATUR TURISMO E VIAGENS LTDA";"UKAMVI";"12/02/2021";"Companhia Aérea: LATAM, Localizador: UKAMVI. Passageiros: AMARO LUCIO DA SILVA (Matrícula 142480, COMISSIONADO), Voo: 3034 - BRASÍLIA/FLORIANÓPOLIS - 25/02/2021;";"1113,19";"2156218"
"2021";"2";"ESPERIDIÃO AMIN";"Passagens aéreas, aquáticas e terrestres nacionais";"00.556.066/0001-62";"FIBRATUR TURISMO E VIAGENS LTDA";"LSVZUG";"19/02/2021";"Companhia Aérea: LATAM, Localizador: LSVZUG. Passageiros: AMARO LUCIO DA SILVA (Matrícula 142480, COMISSIONADO), Voo: 3035 - FLORIANÓPOLIS/BRASÍLIA - 23/02/2021;";"2021,92";"2155972"
"2021";"2";"ESPERIDIÃO AMIN";"Passagens aéreas, aquáticas e terrestres nacionais";"00.556.066/0001-62";"FIBRATUR TURISMO E VIAGENS LTDA";"VGJZOG";"22/02/2021";"Companhia Aérea: LATAM, Localizador: VGJZOG. Passageiros: ESPERIDIÃO AMIN HELOU FILHO (Matrícula 137367, PARLAMENTAR), Voo: 3034 - BRASÍLIA/FLORIANÓPOLIS - 25/02/2021;";"1792,79";"2156217"
"2021";"2";"ESPERIDIÃO AMIN";"Serviços de Segurança Privada";"26.167.898/0001-80";"KHRONOS MONITORAMENTO ELETRONICO LTDA";"236630";"09/02/2021";"";"231,45";"2155553"
"2021";"3";"ESPERIDIÃO AMIN";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"08.336.783/0001-90";"Celesc Distribuição S.A.";"01-20216988388741-62";"03/03/2021";"";"322,68";"2156479"
"2021";"3";"ESPERIDIÃO AMIN";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"08.336.783/0001-90";"Celesc Distribuição S.A.";"01-20216988388769-81";"03/03/2021";"";"470,13";"2156477"
"2021";"3";"ESPERIDIÃO AMIN";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"81.784.423/0001-41";"CONDOMINIO EDIFICIO MAPIL";"52.26.081.0095.027-490";"03/01/2021";"";"2393,57";"2156285"
"2021";"3";"ESPERIDIÃO AMIN";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"02.351.877/0001-52";"LOCAWEB SERVICOS DE INTERNET S";"04226432";"24/02/2021";"";"107,25";"2156286"
"2021";"3";"ESPERIDIÃO AMIN";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07.425.595/0001-76";"MDESTRI COMBUSTIVEIS LUBRIFICANTES LTDA";"556";"01/03/2021";"";"2653,44";"2156656"
"2021";"1";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"29.826.985/0001-90";"CLEAN EXPRESS";"187";"26/01/2021";"DESPESA COM MANUTENÇÃO DO IMÓVEL POLÍTICO - LIMPEZA.";"130";"2155833"
"2021";"1";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"26.742.145/0001-51";"CONDOMÍNIO DO EDIFÍCIO MUBADALLA OFFICE";"610-01-21";"04/12/2020";"DESPESA COM TAXA DE CONDOMÍNIO.";"369,81";"2155367"
"2021";"1";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"28.152.650/0001-71";"EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A";"060.253.797";"08/01/2021";"DESPESA COM ENERGIA ELÉTRICA.";"299,26";"2155378"
"2021";"1";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0118-58";"NET";"2101962526392";"23/01/2021";"DESPESA COM TELEFONIA FIXA E ACESSO À INTERNET";"219,87";"2155370"
"2021";"1";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"22.693.574/0001-25";"VALORI IMÓVEIS";"";"10/02/2021";"DESPESA COM ALUGUEL DAS INSTALAÇÕES DO ESCRITÓRIO DE APOIO POLÍTICO EM ESPÍRITO SANTO - ES.";"2400";"2155366"
"2021";"1";"FABIANO CONTARATO";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"06.069.667/0001-27";"CBTEC";"006914";"06/01/2021";"DESPESA COM LOCAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA.";"150";"2155832"
"2021";"1";"FABIANO CONTARATO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"28.133.619/0001-93";"S/A A GAZETA";"0073489";"06/01/2021";"ASSINATURA A GAZETA.";"4,99";"2155374"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.328.601/0001-53";"ASSOCIAÇÃO PERMISSIONÁRIOS TAXI AEROPORTO - APTA";"";"04/01/2021";"DESPESA COM SERVIÇOS DE TÁXI.";"50";"2155365"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.328.601/0001-53";"ASSOCIAÇÃO PERMISSIONÁRIOS TAXI AEROPORTO - APTA";"";"20/01/2021";"DESPESA COM SERVIÇOS DE TÁXI.";"50";"2155317"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.328.601/0001-53";"ASSOCIAÇÃO PERMISSIONÁRIOS TAXI AEROPORTO - APTA";"";"22/01/2021";"DESPESA COM SERVIÇOS DE TÁXI.";"50";"2155314"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.328.601/0001-53";"ASSOCIAÇÃO PERMISSIONÁRIOS TAXI AEROPORTO - APTA";"";"31/01/2021";"DESPESA COM SERVIÇOS DE TÁXI.";"50";"2155315"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"04/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"8,71";"2155252"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"04/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"38,35";"2155253"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"05/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"33,49";"2155254"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"07/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"31,42";"2155256"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"08/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"6,48";"2155257"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"08/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"6,62";"2155259"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"08/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"33,72";"2155260"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"18/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"21,88";"2155261"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"18/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"24,06";"2155262"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"18/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"34,25";"2155263"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"18/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"44,32";"2155264"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"19/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"6,03";"2155265"
"2021";"1";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"19/01/2021";"Despesa com serviço de transporte privado mediante aplicativo.";"9,15";"2155266"
"2021";"1";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"DWD3RD";"21/12/2020";"Companhia Aérea: GOL, Localizador: DWD3RD. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 1846 - BSB X VIX - 22/01/2021;";"209,47";"2155387"
"2021";"1";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"EWFUUD";"21/12/2020";"Companhia Aérea: GOL, Localizador: EWFUUD. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 1863 - VIX X BSB - 20/01/2021;";"357,85";"2155386"
"2021";"1";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"BTXWXS";"12/01/2021";"Companhia Aérea: LATAM, Localizador: BTXWXS. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 3041 - VIX X BSB - 31/01/2021;";"398,66";"2155388"
"2021";"2";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"06.069.667/0001-27";"CBTEC";"007002";"03/02/2021";"DESPESA COM MANUTENÇÃO IMÓVEL POLÍTICO - LIMPEZA.";"170";"2155835"
"2021";"2";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"26.742.145/0001-51";"CONDOMÍNIO DO EDIFÍCIO MUBADALLA OFFICE";"610-02-21";"27/01/2021";"DESPESA COM TAXA DE CONDOMÍNIO DAS INSTALAÇÕES DO ESCRITÓRIO DE APOIO POLÍTICO EM ESPÍRITO SANTO - ES.";"384,81";"2155651"
"2021";"2";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"28.152.650/0001-71";"EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A";"061.982.648";"05/02/2021";"DESPESA COM ENERGIA ELÉTRICA.";"306,93";"2155955"
"2021";"2";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0118-58";"NET";"2102962520490";"23/02/2021";"DESPESA COM TELEFONIA FIXA E ACESSO À INTERNET";"219,87";"2156993"
"2021";"2";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"22.693.574/0001-25";"VALORI IMÓVEIS";"";"05/03/2021";"DESPESA COM ALUGUEL DAS INSTALAÇÕES DO ESCRITÓRIO DE APOIO POLÍTICO EM ESPÍRITO SANTO - ES.";"3017,1";"2156943"
"2021";"2";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.328.601/0001-53";"ASSOCIAÇÃO PERMISSIONÁRIOS TAXI AEROPORTO - APTA";"";"09/02/2021";"DESPESA COM SERVIÇOS DE TÁXI.";"50";"2155415"
"2021";"2";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"06/02/2021";"DESPESA COM TRANSPORTE PRIVADO URBANO MEDIANTE APLICATIVO.";"28,4";"2155665"
"2021";"2";"FABIANO CONTARATO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"UBER DO BRASIL TECNOLOGIA LTDA.";"";"06/02/2021";"DESPESA COM TRANSPORTE PRIVADO URBANO MEDIANTE APLICATIVO.";"29,69";"2155667"
"2021";"2";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"AOHLQF";"13/01/2021";"Companhia Aérea: LATAM, Localizador: AOHLQF. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 3040 - BSB X VIX - 04/02/2021;";"245,43";"2155946"
"2021";"2";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"RODCQZ";"02/02/2021";"Companhia Aérea: LATAM, Localizador: RODCQZ. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 3040 - BSB X VIX - 25/02/2021;";"360,27";"2155954"
"2021";"2";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"YDWJUJ";"02/02/2021";"Companhia Aérea: LATAM, Localizador: YDWJUJ. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 3041 - VIX X BSB - 22/02/2021;";"443,35";"2155952"
"2021";"2";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"RTV25B";"03/02/2021";"Companhia Aérea: GOL, Localizador: RTV25B. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 1846 - BSB X VIX - 12/02/2021;";"667,27";"2155951"
"2021";"2";"FABIANO CONTARATO";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"ADRIA VIAGENS E TURISMO LTDA";"VHZAIK";"03/02/2021";"Companhia Aérea: LATAM, Localizador: VHZAIK. Passageiros: FABIANO CONTARATO (Matrícula 341189, PARLAMENTAR), Voo: 3041 - VIX X BSB - 09/02/2021;";"754,46";"2155947"
"2021";"3";"FABIANO CONTARATO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"26.742.145/0001-51";"CONDOMÍNIO DO EDIFÍCIO MUBADALLA OFFICE";"610-03-21";"01/03/2021";"DESPESA COM CONDOMÍNIO";"369,81";"2156997"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"409.134.304-04";"ALDECI JOSÉ DE MEDEIROS CABO";"01/21";"29/01/2021";"Despesa com aluguel - escritório parlamentar - sala 911";"2237";"2154340"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"138460177";"05/01/2021";"Despesa com energia elétrica - escritório parlamentar - PNZ - jan/2021";"252,52";"2154387"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"138918625";"07/01/2021";"Despesa com energia elétrica - escritório parlamentar no estado, sala 911. 01/21";"113,22";"2155321"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"138918626";"07/01/2021";"Despesa com energia elétrica - escritório parlamentar - sala 912 - jan/2021";"238,28";"2154385"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"124.147.944-53";"JOSÉ CARLOS FONTAINE COSTA";"01/21";"29/01/2021";"Despesa com aluguel - escritório parlamentar - sala 912";"2684";"2154342"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05.423.963/0001-11";"OI Móvel S.A.";"625246394";"15/01/2021";"Despesas com telefone no escritório parlamentar no estado. 01-21";"289,4";"2155079"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"20.755.190/0001-64";"SUBCONDOMINIO COMPLEXO EMPRESARIAL RM TRADE CENTER";"0345187";"16/12/2020";"Despesa com condomínio - escritório parlamentar, sala 911 - Janeiro/2021";"509,95";"2154338"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"20.755.190/0001-64";"SUBCONDOMINIO COMPLEXO EMPRESARIAL RM TRADE CENTER";"0345188";"16/12/2020";"taxa de condomínio - escritório parlamentar, sala 912 - Janeiro/2021";"614,41";"2154339"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33.000.118/0014-93";"TELEMAR NORTE LESTE S/A";"1200115613625";"15/01/2021";"Despesas com telefone no escritório parlamentar no estado. 01-21";"99,27";"2155080"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.421.421/0001-11";"TIM S.A.";"4406442938";"07/01/2021";"Despesa com telefone celular no estado. 01/21";"639";"2155078"
"2021";"1";"FERNANDO BEZERRA COELHO";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"20.300.157/0006-54";"Novo Atacado Comércio de Alimentos LDTA";"4395";"20/01/2021";"Despesa com material de consumo - escritório parlamentar no estado - 01/21";"189,2";"2154649"
"2021";"1";"FERNANDO BEZERRA COELHO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"37.067.543/0001-36";"Fábrica de Ideias Tecnologia e Comunicações LTDA";"000.005.354";"04/01/2020";"Despesa com serviços de clipping.";"1600";"2154344"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09.551.920/0001-72";"NASSAU VIAGENS E TURISMO LTDA";"31625";"20/01/2021";"Despesa com hospedagem para servidor. 01/2021";"359";"2154578"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09.551.920/0001-72";"NASSAU VIAGENS E TURISMO LTDA";"31624";"20/01/2021";"Despesa com hospedagem do senador. Jan/21";"359";"2154577"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08.986.176/0003-38";"Posto Apipucos LTDA";"77151";"05/01/2021";"despesa com combustível no estado. Jan/21";"223,38";"2154343"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"03.281.744/0001-10";"Posto Ibiza LTDA";"113879";"30/01/2021";"Despesa com combustível no estado. 01/2021";"224,23";"2156144"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"03.786.763/0002-89";"POSTO XINGU LTDA";"502523";"19/01/2021";"Despesa com combustível no estado - 01/21";"217,38";"2154648"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.586.213/0001-17";"R Mendes Empreendimentos Eireli - EPP";"409/2021";"31/01/2021";"Despesa com locação de veículo no estado. jan/2021";"7000";"2156096"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia LTDA";"";"18/01/2021";"Despesa com transporte - assessoria - Aeroporto";"17,44";"2154650"
"2021";"1";"FERNANDO BEZERRA COELHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"17.895.646/0001-87";"Uber do Brasil Tecnologia LTDA";"";"18/01/2021";"Despesa com serviços de transportes em São Paulo.";"25,62";"2154651"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.296.295/0001-60";"AZUL";"JCN5XV";"11/01/2021";"Companhia Aérea: AZUL, Localizador: JCN5XV. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 4198 - REC/BSB - 12/01/2021;";"1255,83";"2154331"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.296.295/0001-60";"AZUL";"IJSLKN";"13/01/2021";"Companhia Aérea: AZUL, Localizador: IJSLKN. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 4565 - SSA/REC - 17/01/2021;";"1007,22";"2154334"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.296.295/0001-60";"AZUL";"QEKTNC";"17/01/2021";"Companhia Aérea: AZUL, Localizador: QEKTNC. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 4201 - REC/CGH - 18/01/2021;";"733,83";"2154335"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.296.295/0001-60";"AZUL";"UNR8ME";"29/01/2021";"Companhia Aérea: AZUL, Localizador: UNR8ME. Passageiros: LILIANE DE SOUZA NUNES (Matrícula 296743, COMISSIONADO), Voo: 4430 - REC/BSB - 31/01/2021; LILIANE DE SOUZA NUNES (Matrícula 296743, COMISSIONADO), Voo: 4197 - BSB/REC - 03/02/2021;";"1229,6";"2155089"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"NIK2HV";"13/01/2021";"Companhia Aérea: GOL, Localizador: NIK2HV. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 1852 - BSB/SSA - 13/01/2021;";"684,47";"2154332"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"IFF7SB";"17/01/2021";"Companhia Aérea: GOL, Localizador: IFF7SB. Passageiros: LÍSIA GUSMÃO CARVALHO (Matrícula 351766, COMISSIONADO), Voo: 1111 - BSB/CGH - 18/01/2021;";"1201,71";"2154336"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"KT5C5R";"17/01/2021";"Companhia Aérea: GOL, Localizador: KT5C5R. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 1876 - BSB/REC - 20/01/2021;";"1411,47";"2154337"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"MYYALR";"04/01/2021";"Companhia Aérea: LATAM, Localizador: MYYALR. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 3016 - REC/BSB - 07/01/2021; FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 3467 - BSB/REC - 08/01/2021;";"1689,4";"2154559"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"DQWZWA";"17/01/2021";"Companhia Aérea: LATAM, Localizador: DQWZWA. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 3084 - CGH/BSB - 19/01/2021;";"1707,53";"2155429"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.551.920/0001-72";"NASSAU VIAGENS E TURISMO LTDA";"HXIBUO";"19/01/2020";"Companhia Aérea: LATAM, Localizador: HXIBUO. Passageiros: LÍSIA GUSMÃO CARVALHO (Matrícula 351766, COMISSIONADO), Voo: 3084 - CGH/BSB - 19/01/2020;";"1550,92";"2154560"
"2021";"1";"FERNANDO BEZERRA COELHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09.551.920/0001-72";"NASSAU VIAGENS E TURISMO LTDA";"EJCVTV";"22/01/2020";"Companhia Aérea: LATAM, Localizador: EJCVTV. Passageiros: FERNANDO BEZERRA DE SOUZA COELHO (Matrícula 296240, PARLAMENTAR), Voo: 3016 - REC/BSB - 26/01/2020;";"1146,32";"2154561"
"2021";"2";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"409.134.304-04";"ALDECI JOSÉ DE MEDEIROS CABO";"02/21";"26/02/2021";"Despesa com aluguel sala 911 - escritório parlamentar no estado. 02/2021";"2237";"2156295"
"2021";"2";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"142401449";"03/02/2021";"Despesa com energia elétrica - escritório parlamentar no estado - PNZ - 02/21";"282,48";"2157184"
"2021";"2";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"142849342";"05/02/2021";"Despesa com energia elétrica - Escritório parlamentar no estado - Sala 911 - 02/21";"106";"2157182"
"2021";"2";"FERNANDO BEZERRA COELHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"COMPAINHA ENERGÉTICA DE PERNAMBUCO";"142849343";"05/02/2021";"Despesa com energia elétrica - escritório parlamentar no estado - sala 912 - 02/21";"255,13";"2157183"
